Número de factura,Sucursal,Ciudad,Tipo de cliente,Género,Línea de producto,Precio unitario,Cantidad,Impuesto 5%,Total,Fecha,Hora,Método de pago,Costo de bienes vendidos,Porcentaje de margen bruto,Ingreso bruto,Calificación
365-64-0515,A,Yangon,Normal,Femenino,Accesorios electrónicos,"46,95",5,"11,7375","246,4875",12/02/2019,10:25,Billetera electrónica,"234,75","4,761904762","11,7375","7,1"
252-56-2699,A,Yangon,Normal,Masculino,Alimentos y bebidas,"43,19",10,"21,595","453,495",07/02/2019,16:48,Billetera electrónica,"431,9","4,761904762","21,595","8,2"
829-34-3910,A,Yangon,Normal,Femenino,Salud y belleza,"71,38",10,"35,69","749,49",29/03/2019,19:21,Efectivo,"713,8","4,761904762","35,69","5,7"
299-46-1805,B,Mandalay,Miembro,Femenino,Deportes y viajes,"93,72",6,"28,116","590,436",15/01/2019,16:19,Efectivo,"562,32","4,761904762","28,116","4,5"
656-95-9349,A,Yangon,Miembro,Femenino,Salud y belleza,"68,93",7,"24,1255","506,6355",11/03/2019,11:03,Tarjeta de crédito,"482,51","4,761904762","24,1255","4,6"
765-26-6951,A,Yangon,Normal,Masculino,Deportes y viajes,"72,61",6,"21,783","457,443",01/01/2019,10:39,Tarjeta de crédito,"435,66","4,761904762","21,783","6,9"
329-62-1586,A,Yangon,Normal,Masculino,Alimentos y bebidas,"54,67",3,"8,2005","172,2105",21/01/2019,18:00,Tarjeta de crédito,"164,01","4,761904762","8,2005","8,6"
319-50-3348,B,Mandalay,Normal,Femenino,Hogar y estilo de vida,"40,3",2,"4,03","84,63",11/03/2019,15:30,Billetera electrónica,"80,6","4,761904762","4,03","4,4"
300-71-4605,C,Naypyitaw,Miembro,Masculino,Accesorios electrónicos,"86,04",5,"21,51","451,71",25/02/2019,11:24,Billetera electrónica,"430,2","4,761904762","21,51","4,8"
371-85-5789,B,Mandalay,Normal,Masculino,Salud y belleza,"87,98",3,"13,197","277,137",05/03/2019,10:40,Billetera electrónica,"263,94","4,761904762","13,197","5,1"
273-16-6619,B,Mandalay,Normal,Masculino,Hogar y estilo de vida,"33,2",2,"3,32","69,72",15/03/2019,12:20,Tarjeta de crédito,"66,4","4,761904762","3,32","4,4"
636-48-8204,A,Yangon,Normal,Masculino,Accesorios electrónicos,"34,56",5,"8,64","181,44",17/02/2019,11:15,Billetera electrónica,"172,8","4,761904762","8,64","9,9"
549-59-1358,A,Yangon,Miembro,Masculino,Deportes y viajes,"88,63",3,"13,2945","279,1845",02/03/2019,17:36,Billetera electrónica,"265,89","4,761904762","13,2945","6,0"
227-03-5010,A,Yangon,Miembro,Femenino,Hogar y estilo de vida,"52,59",8,"21,036","441,756",22/03/2019,19:20,Tarjeta de crédito,"420,72","4,761904762","21,036","8,5"
649-29-6775,B,Mandalay,Normal,Masculino,Accesorios de moda,"33,52",1,"1,676","35,196",08/02/2019,15:31,Efectivo,"33,52","4,761904762","1,676","6,7"
189-17-4241,A,Yangon,Normal,Femenino,Accesorios de moda,"87,67",2,"8,767","184,107",10/03/2019,12:17,Tarjeta de crédito,"175,34","4,761904762","8,767","7,7"
145-94-9061,B,Mandalay,Normal,Femenino,Alimentos y bebidas,"88,36",5,"22,09","463,89",25/01/2019,19:48,Efectivo,"441,8","4,761904762","22,09","9,6"
848-62-7243,A,Yangon,Normal,Masculino,Salud y belleza,"24,89",9,"11,2005","235,2105",15/03/2019,15:36,Efectivo,"224,01","4,761904762","11,2005","7,4"
871-79-8483,B,Mandalay,Normal,Masculino,Accesorios de moda,"94,13",5,"23,5325","494,1825",25/02/2019,19:39,Tarjeta de crédito,"470,65","4,761904762","23,5325","4,8"
149-71-6266,B,Mandalay,Miembro,Masculino,Deportes y viajes,"78,07",9,"35,1315","737,7615",28/01/2019,12:43,Efectivo,"702,63","4,761904762","35,1315","4,5"
640-49-2076,B,Mandalay,Normal,Masculino,Deportes y viajes,"83,78",8,"33,512","703,752",10/01/2019,14:49,Efectivo,"670,24","4,761904762","33,512","5,1"
595-11-5460,A,Yangon,Normal,Masculino,Salud y belleza,"96,58",2,"9,658","202,818",15/03/2019,10:12,Tarjeta de crédito,"193,16","4,761904762","9,658","5,1"
183-56-6882,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"99,42",4,"19,884","417,564",06/02/2019,10:42,Billetera electrónica,"397,68","4,761904762","19,884","7,5"
232-16-2483,C,Naypyitaw,Miembro,Femenino,Deportes y viajes,"68,12",1,"3,406","71,526",07/01/2019,12:28,Billetera electrónica,"68,12","4,761904762","3,406","6,8"
129-29-8530,A,Yangon,Miembro,Masculino,Deportes y viajes,"62,62",5,"15,655","328,755",10/03/2019,19:15,Billetera electrónica,"313,1","4,761904762","15,655","7,0"
272-65-1806,A,Yangon,Normal,Femenino,Accesorios electrónicos,"60,88",9,"27,396","575,316",15/01/2019,17:17,Billetera electrónica,"547,92","4,761904762","27,396","4,7"
333-73-7901,C,Naypyitaw,Normal,Femenino,Salud y belleza,"54,92",8,"21,968","461,328",23/03/2019,13:24,Billetera electrónica,"439,36","4,761904762","21,968","7,6"
777-82-7220,B,Mandalay,Miembro,Masculino,Hogar y estilo de vida,"30,12",8,"12,048","253,008",03/03/2019,13:01,Efectivo,"240,96","4,761904762","12,048","7,7"
280-35-5823,B,Mandalay,Miembro,Femenino,Hogar y estilo de vida,"86,72",1,"4,336","91,056",17/01/2019,18:45,Billetera electrónica,"86,72","4,761904762","4,336","7,9"
554-53-8700,C,Naypyitaw,Miembro,Masculino,Hogar y estilo de vida,"56,11",2,"5,611","117,831",02/02/2019,10:11,Efectivo,"112,22","4,761904762","5,611","6,3"
354-25-5821,B,Mandalay,Miembro,Femenino,Deportes y viajes,"69,12",6,"20,736","435,456",08/02/2019,13:03,Efectivo,"414,72","4,761904762","20,736","5,6"
228-96-1411,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"98,7",8,"39,48","829,08",04/03/2019,20:39,Efectivo,"789,6","4,761904762","39,48","7,6"
617-15-4209,C,Naypyitaw,Miembro,Masculino,Salud y belleza,"15,37",2,"1,537","32,277",16/03/2019,19:47,Efectivo,"30,74","4,761904762","1,537","7,2"
132-32-9879,B,Mandalay,Miembro,Femenino,Accesorios electrónicos,"93,96",4,"18,792","394,632",09/03/2019,18:00,Efectivo,"375,84","4,761904762","18,792","9,5"
370-41-7321,B,Mandalay,Miembro,Masculino,Salud y belleza,"56,69",9,"25,5105","535,7205",27/02/2019,17:24,Tarjeta de crédito,"510,21","4,761904762","25,5105","8,4"
727-46-3608,B,Mandalay,Miembro,Femenino,Alimentos y bebidas,"20,01",9,"9,0045","189,0945",06/02/2019,15:47,Billetera electrónica,"180,09","4,761904762","9,0045","4,1"
669-54-1719,B,Mandalay,Miembro,Masculino,Accesorios electrónicos,"18,93",6,"5,679","119,259",10/02/2019,12:45,Tarjeta de crédito,"113,58","4,761904762","5,679","8,1"
574-22-5561,C,Naypyitaw,Miembro,Femenino,Accesorios de moda,"82,63",10,"41,315","867,615",19/03/2019,17:08,Billetera electrónica,"826,3","4,761904762","41,315","7,9"
326-78-5178,C,Naypyitaw,Miembro,Masculino,Alimentos y bebidas,"91,4",7,"31,99","671,79",03/02/2019,10:19,Efectivo,"639,8","4,761904762","31,99","9,5"
162-48-8011,A,Yangon,Miembro,Femenino,Alimentos y bebidas,"44,59",5,"11,1475","234,0975",10/02/2019,15:10,Efectivo,"222,95","4,761904762","11,1475","8,5"
616-24-2851,B,Mandalay,Miembro,Femenino,Accesorios de moda,"17,87",4,"3,574","75,054",22/03/2019,14:42,Billetera electrónica,"71,48","4,761904762","3,574","6,5"
778-71-5554,C,Naypyitaw,Miembro,Masculino,Accesorios de moda,"15,43",1,"0,7715","16,2015",25/01/2019,15:46,Tarjeta de crédito,"15,43","4,761904762","0,7715","6,1"
242-55-6721,B,Mandalay,Normal,Masculino,Hogar y estilo de vida,"16,16",2,"1,616","33,936",07/03/2019,11:49,Billetera electrónica,"32,32","4,761904762","1,616","6,5"
399-46-5918,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"85,98",8,"34,392","722,232",28/02/2019,19:01,Efectivo,"687,84","4,761904762","34,392","8,2"
106-35-6779,A,Yangon,Miembro,Masculino,Hogar y estilo de vida,"44,34",2,"4,434","93,114",27/03/2019,11:26,Efectivo,"88,68","4,761904762","4,434","5,8"
635-40-6220,A,Yangon,Normal,Masculino,Salud y belleza,"89,6",8,"35,84","752,64",07/02/2019,11:28,Billetera electrónica,"716,8","4,761904762","35,84","6,6"
817-48-8732,A,Yangon,Miembro,Femenino,Hogar y estilo de vida,"72,35",10,"36,175","759,675",20/01/2019,15:55,Efectivo,"723,5","4,761904762","36,175","5,4"
120-06-4233,C,Naypyitaw,Normal,Masculino,Accesorios electrónicos,"30,61",6,"9,183","192,843",12/03/2019,20:36,Efectivo,"183,66","4,761904762","9,183","9,3"
285-68-5083,C,Naypyitaw,Miembro,Femenino,Deportes y viajes,"24,74",3,"3,711","77,931",15/02/2019,17:47,Tarjeta de crédito,"74,22","4,761904762","3,711","10,0"
803-83-5989,C,Naypyitaw,Normal,Masculino,Hogar y estilo de vida,"55,73",6,"16,719","351,099",24/02/2019,10:55,Billetera electrónica,"334,38","4,761904762","16,719","7,0"
347-34-2234,B,Mandalay,Miembro,Femenino,Deportes y viajes,"55,07",9,"24,7815","520,4115",03/02/2019,13:40,Billetera electrónica,"495,63","4,761904762","24,7815","10,0"
199-75-8169,A,Yangon,Miembro,Masculino,Deportes y viajes,"15,81",10,"7,905","166,005",06/03/2019,12:27,Tarjeta de crédito,"158,1","4,761904762","7,905","8,6"
853-23-2453,B,Mandalay,Miembro,Masculino,Salud y belleza,"75,74",4,"15,148","318,108",14/02/2019,14:35,Efectivo,"302,96","4,761904762","15,148","7,6"
877-22-3308,A,Yangon,Miembro,Masculino,Salud y belleza,"15,87",10,"7,935","166,635",13/03/2019,16:40,Efectivo,"158,7","4,761904762","7,935","5,8"
838-78-4295,C,Naypyitaw,Normal,Femenino,Salud y belleza,"33,47",2,"3,347","70,287",10/02/2019,15:43,Billetera electrónica,"66,94","4,761904762","3,347","6,7"
109-28-2512,B,Mandalay,Miembro,Femenino,Accesorios de moda,"97,61",6,"29,283","614,943",07/01/2019,15:01,Billetera electrónica,"585,66","4,761904762","29,283","9,9"
232-11-3025,A,Yangon,Normal,Masculino,Deportes y viajes,"78,77",10,"39,385","827,085",24/01/2019,10:04,Efectivo,"787,7","4,761904762","39,385","6,4"
382-03-4532,A,Yangon,Miembro,Femenino,Salud y belleza,"18,33",1,"0,9165","19,2465",02/02/2019,18:50,Efectivo,"18,33","4,761904762","0,9165","4,3"
393-65-2792,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"89,48",10,"44,74","939,54",06/01/2019,12:46,Tarjeta de crédito,"894,8","4,761904762","44,74","9,6"
796-12-2025,C,Naypyitaw,Normal,Masculino,Accesorios de moda,"62,12",10,"31,06","652,26",11/02/2019,16:19,Efectivo,"621,2","4,761904762","31,06","5,9"
510-95-6347,B,Mandalay,Miembro,Femenino,Alimentos y bebidas,"48,52",3,"7,278","152,838",05/03/2019,18:17,Billetera electrónica,"145,56","4,761904762","7,278","4,0"
841-35-6630,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"75,91",6,"22,773","478,233",09/03/2019,18:21,Efectivo,"455,46","4,761904762","22,773","8,7"
287-21-9091,A,Yangon,Normal,Masculino,Hogar y estilo de vida,"74,67",9,"33,6015","705,6315",22/01/2019,10:55,Billetera electrónica,"672,03","4,761904762","33,6015","9,4"
732-94-0499,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"41,65",10,"20,825","437,325",13/01/2019,17:04,Tarjeta de crédito,"416,5","4,761904762","20,825","5,4"
263-10-3913,C,Naypyitaw,Miembro,Masculino,Accesorios de moda,"49,04",9,"22,068","463,428",09/01/2019,14:20,Tarjeta de crédito,"441,36","4,761904762","22,068","8,6"
381-20-0914,A,Yangon,Miembro,Femenino,Accesorios de moda,"20,01",9,"9,0045","189,0945",12/01/2019,15:48,Tarjeta de crédito,"180,09","4,761904762","9,0045","5,7"
829-49-1914,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"78,31",10,"39,155","822,255",05/03/2019,16:24,Billetera electrónica,"783,1","4,761904762","39,155","6,6"
756-01-7507,C,Naypyitaw,Normal,Femenino,Salud y belleza,"20,38",5,"5,095","106,995",22/01/2019,18:56,Efectivo,"101,9","4,761904762","5,095","6,0"
870-72-4431,C,Naypyitaw,Normal,Femenino,Salud y belleza,"99,19",6,"29,757","624,897",21/01/2019,14:42,Tarjeta de crédito,"595,14","4,761904762","29,757","5,5"
847-38-7188,B,Mandalay,Normal,Femenino,Alimentos y bebidas,"96,68",3,"14,502","304,542",26/01/2019,19:56,Billetera electrónica,"290,04","4,761904762","14,502","6,4"
480-63-2856,C,Naypyitaw,Normal,Masculino,Alimentos y bebidas,"19,25",8,"7,7","161,7",23/01/2019,18:37,Billetera electrónica,"154,0","4,761904762","7,7","6,6"
787-56-0757,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"80,36",4,"16,072","337,512",23/02/2019,18:45,Tarjeta de crédito,"321,44","4,761904762","16,072","8,3"
360-39-5055,C,Naypyitaw,Miembro,Masculino,Deportes y viajes,"48,91",5,"12,2275","256,7775",09/03/2019,10:17,Efectivo,"244,55","4,761904762","12,2275","6,6"
730-50-9884,C,Naypyitaw,Normal,Femenino,Deportes y viajes,"83,06",7,"29,071","610,491",05/03/2019,14:31,Billetera electrónica,"581,42","4,761904762","29,071","4,0"
362-58-8315,C,Naypyitaw,Normal,Masculino,Accesorios de moda,"76,52",5,"19,13","401,73",25/03/2019,10:23,Efectivo,"382,6","4,761904762","19,13","9,9"
633-44-8566,A,Yangon,Miembro,Masculino,Alimentos y bebidas,"49,38",7,"17,283","362,943",27/03/2019,20:35,Tarjeta de crédito,"345,66","4,761904762","17,283","7,3"
504-35-8843,A,Yangon,Normal,Masculino,Deportes y viajes,"42,47",1,"2,1235","44,5935",02/01/2019,16:57,Efectivo,"42,47","4,761904762","2,1235","5,7"
318-68-5053,B,Mandalay,Normal,Femenino,Salud y belleza,"76,99",6,"23,097","485,037",27/02/2019,17:55,Efectivo,"461,94","4,761904762","23,097","6,1"
565-80-5980,C,Naypyitaw,Miembro,Femenino,Hogar y estilo de vida,"47,38",4,"9,476","198,996",23/01/2019,10:25,Efectivo,"189,52","4,761904762","9,476","7,1"
225-32-0908,C,Naypyitaw,Normal,Femenino,Deportes y viajes,"44,86",10,"22,43","471,03",26/01/2019,19:54,Billetera electrónica,"448,6","4,761904762","22,43","8,2"
873-51-0671,A,Yangon,Miembro,Femenino,Deportes y viajes,"21,98",7,"7,693","161,553",10/01/2019,16:42,Billetera electrónica,"153,86","4,761904762","7,693","5,1"
152-08-9985,B,Mandalay,Miembro,Masculino,Salud y belleza,"64,36",9,"28,962","608,202",12/03/2019,12:09,Tarjeta de crédito,"579,24","4,761904762","28,962","8,6"
512-91-0811,C,Naypyitaw,Normal,Masculino,Salud y belleza,"89,75",1,"4,4875","94,2375",06/02/2019,20:05,Tarjeta de crédito,"89,75","4,761904762","4,4875","6,6"
594-34-4444,A,Yangon,Normal,Masculino,Accesorios electrónicos,"97,16",1,"4,858","102,018",08/03/2019,20:38,Billetera electrónica,"97,16","4,761904762","4,858","7,2"
766-85-7061,B,Mandalay,Normal,Masculino,Salud y belleza,"87,87",10,"43,935","922,635",29/03/2019,10:25,Billetera electrónica,"878,7","4,761904762","43,935","5,1"
871-39-9221,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"12,45",6,"3,735","78,435",09/02/2019,13:11,Efectivo,"74,7","4,761904762","3,735","4,1"
865-92-6136,A,Yangon,Normal,Masculino,Alimentos y bebidas,"52,75",3,"7,9125","166,1625",23/03/2019,10:16,Billetera electrónica,"158,25","4,761904762","7,9125","9,3"
733-01-9107,B,Mandalay,Normal,Masculino,Hogar y estilo de vida,"82,7",6,"24,81","521,01",05/03/2019,18:14,Efectivo,"496,2","4,761904762","24,81","7,4"
163-56-7055,C,Naypyitaw,Miembro,Masculino,Accesorios de moda,"48,71",1,"2,4355","51,1455",26/03/2019,19:20,Efectivo,"48,71","4,761904762","2,4355","4,1"
189-98-2939,C,Naypyitaw,Normal,Masculino,Accesorios de moda,"78,55",9,"35,3475","742,2975",01/03/2019,13:22,Efectivo,"706,95","4,761904762","35,3475","7,2"
551-21-3069,C,Naypyitaw,Normal,Femenino,Accesorios electrónicos,"23,07",9,"10,3815","218,0115",01/02/2019,11:27,Efectivo,"207,63","4,761904762","10,3815","4,9"
212-62-1842,A,Yangon,Normal,Masculino,Alimentos y bebidas,"58,26",6,"17,478","367,038",28/03/2019,16:44,Efectivo,"349,56","4,761904762","17,478","9,9"
716-39-1409,B,Mandalay,Normal,Masculino,Salud y belleza,"30,35",7,"10,6225","223,0725",19/03/2019,18:19,Efectivo,"212,45","4,761904762","10,6225","8,0"
704-48-3927,A,Yangon,Miembro,Masculino,Accesorios electrónicos,"88,67",10,"44,335","931,035",12/01/2019,14:50,Billetera electrónica,"886,7","4,761904762","44,335","7,3"
628-34-3388,C,Naypyitaw,Normal,Masculino,Accesorios de moda,"27,38",6,"8,214","172,494",05/01/2019,20:54,Tarjeta de crédito,"164,28","4,761904762","8,214","7,9"
630-74-5166,A,Yangon,Normal,Masculino,Deportes y viajes,"62,13",6,"18,639","391,419",22/03/2019,20:19,Efectivo,"372,78","4,761904762","18,639","7,4"
588-01-7461,C,Naypyitaw,Normal,Femenino,Alimentos y bebidas,"33,98",9,"15,291","321,111",24/03/2019,10:43,Efectivo,"305,82","4,761904762","15,291","4,2"
861-77-0145,C,Naypyitaw,Miembro,Masculino,Accesorios electrónicos,"81,97",10,"40,985","860,685",03/03/2019,14:30,Efectivo,"819,7","4,761904762","40,985","9,2"
479-26-8945,B,Mandalay,Miembro,Femenino,Deportes y viajes,"16,49",2,"1,649","34,629",05/02/2019,11:32,Billetera electrónica,"32,98","4,761904762","1,649","4,6"
210-67-5886,C,Naypyitaw,Miembro,Femenino,Salud y belleza,"98,21",3,"14,7315","309,3615",05/02/2019,10:41,Tarjeta de crédito,"294,63","4,761904762","14,7315","7,8"
227-78-1148,B,Mandalay,Normal,Femenino,Accesorios de moda,"72,84",7,"25,494","535,374",15/02/2019,12:44,Efectivo,"509,88","4,761904762","25,494","8,4"
645-44-1170,A,Yangon,Miembro,Masculino,Hogar y estilo de vida,"58,07",9,"26,1315","548,7615",19/01/2019,20:07,Billetera electrónica,"522,63","4,761904762","26,1315","4,3"
237-01-6122,C,Naypyitaw,Miembro,Femenino,Hogar y estilo de vida,"80,79",9,"36,3555","763,4655",01/02/2019,20:31,Tarjeta de crédito,"727,11","4,761904762","36,3555","9,5"
225-98-1496,C,Naypyitaw,Normal,Femenino,Accesorios de moda,"27,02",3,"4,053","85,113",02/03/2019,13:01,Tarjeta de crédito,"81,06","4,761904762","4,053","7,1"
291-32-1427,B,Mandalay,Miembro,Masculino,Accesorios de moda,"21,94",5,"5,485","115,185",05/03/2019,12:29,Billetera electrónica,"109,7","4,761904762","5,485","5,3"
659-65-8956,B,Mandalay,Miembro,Masculino,Accesorios de moda,"51,36",1,"2,568","53,928",16/01/2019,15:26,Billetera electrónica,"51,36","4,761904762","2,568","5,2"
642-32-2990,A,Yangon,Normal,Femenino,Alimentos y bebidas,"10,96",10,"5,48","115,08",02/02/2019,20:48,Billetera electrónica,"109,6","4,761904762","5,48","6,0"
378-24-2715,B,Mandalay,Normal,Masculino,Hogar y estilo de vida,"53,44",2,"5,344","112,224",20/01/2019,20:38,Billetera electrónica,"106,88","4,761904762","5,344","4,1"
638-60-7125,A,Yangon,Normal,Femenino,Accesorios electrónicos,"99,56",8,"39,824","836,304",14/02/2019,17:03,Tarjeta de crédito,"796,48","4,761904762","39,824","5,2"
659-36-1684,C,Naypyitaw,Miembro,Masculino,Deportes y viajes,"57,12",7,"19,992","419,832",12/01/2019,12:02,Tarjeta de crédito,"399,84","4,761904762","19,992","6,5"
219-22-9386,B,Mandalay,Miembro,Masculino,Deportes y viajes,"99,96",9,"44,982","944,622",09/03/2019,17:26,Tarjeta de crédito,"899,64","4,761904762","44,982","4,2"
336-78-2147,C,Naypyitaw,Miembro,Masculino,Hogar y estilo de vida,"63,91",8,"25,564","536,844",13/03/2019,19:52,Tarjeta de crédito,"511,28","4,761904762","25,564","4,6"
268-27-6179,B,Mandalay,Miembro,Femenino,Accesorios de moda,"56,47",8,"22,588","474,348",09/03/2019,14:57,Billetera electrónica,"451,76","4,761904762","22,588","7,3"
668-90-8900,A,Yangon,Normal,Femenino,Hogar y estilo de vida,"93,69",7,"32,7915","688,6215",10/03/2019,18:44,Tarjeta de crédito,"655,83","4,761904762","32,7915","4,5"
870-54-3162,A,Yangon,Normal,Femenino,Deportes y viajes,"32,25",5,"8,0625","169,3125",27/01/2019,13:26,Efectivo,"161,25","4,761904762","8,0625","9,0"
189-08-9157,C,Naypyitaw,Normal,Femenino,Accesorios de moda,"31,73",9,"14,2785","299,8485",08/01/2019,16:17,Tarjeta de crédito,"285,57","4,761904762","14,2785","5,9"
663-86-9076,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"68,54",8,"27,416","575,736",08/01/2019,15:57,Billetera electrónica,"548,32","4,761904762","27,416","8,5"
549-84-7482,B,Mandalay,Normal,Femenino,Deportes y viajes,"90,28",9,"40,626","853,146",08/02/2019,11:15,Billetera electrónica,"812,52","4,761904762","40,626","7,2"
191-10-6171,B,Mandalay,Normal,Femenino,Accesorios de moda,"39,62",7,"13,867","291,207",25/01/2019,13:18,Efectivo,"277,34","4,761904762","13,867","7,5"
802-70-5316,A,Yangon,Miembro,Femenino,Deportes y viajes,"92,13",6,"27,639","580,419",06/03/2019,20:34,Efectivo,"552,78","4,761904762","27,639","8,3"
695-51-0018,B,Mandalay,Normal,Femenino,Deportes y viajes,"34,84",4,"6,968","146,328",10/02/2019,18:36,Efectivo,"139,36","4,761904762","6,968","7,4"
590-83-4591,B,Mandalay,Miembro,Masculino,Accesorios electrónicos,"87,45",6,"26,235","550,935",17/02/2019,14:40,Tarjeta de crédito,"524,7","4,761904762","26,235","8,8"
483-71-1164,C,Naypyitaw,Normal,Femenino,Salud y belleza,"81,3",6,"24,39","512,19",08/03/2019,16:43,Billetera electrónica,"487,8","4,761904762","24,39","5,3"
597-78-7908,C,Naypyitaw,Normal,Masculino,Accesorios de moda,"90,22",3,"13,533","284,193",18/02/2019,19:39,Efectivo,"270,66","4,761904762","13,533","6,2"
700-81-1757,A,Yangon,Normal,Femenino,Accesorios electrónicos,"26,31",5,"6,5775","138,1275",18/01/2019,20:59,Tarjeta de crédito,"131,55","4,761904762","6,5775","8,8"
354-39-5160,A,Yangon,Miembro,Femenino,Hogar y estilo de vida,"34,42",6,"10,326","216,846",18/02/2019,15:39,Efectivo,"206,52","4,761904762","10,326","9,8"
241-72-9525,B,Mandalay,Normal,Masculino,Deportes y viajes,"51,91",10,"25,955","545,055",16/02/2019,12:21,Efectivo,"519,1","4,761904762","25,955","8,2"
575-30-8091,A,Yangon,Normal,Masculino,Deportes y viajes,"72,5",8,"29,0","609,0",16/03/2019,19:25,Billetera electrónica,"580,0","4,761904762","29,0","9,2"
731-81-9469,C,Naypyitaw,Miembro,Femenino,Deportes y viajes,"89,8",10,"44,9","942,9",23/01/2019,13:00,Tarjeta de crédito,"898,0","4,761904762","44,9","5,4"
280-17-4359,C,Naypyitaw,Miembro,Masculino,Salud y belleza,"90,5",10,"45,25","950,25",25/01/2019,13:48,Efectivo,"905,0","4,761904762","45,25","8,1"
338-65-2210,C,Naypyitaw,Miembro,Femenino,Salud y belleza,"68,6",10,"34,3","720,3",05/02/2019,19:57,Efectivo,"686,0","4,761904762","34,3","9,1"
488-25-4221,C,Naypyitaw,Miembro,Femenino,Alimentos y bebidas,"30,41",1,"1,5205","31,9305",22/02/2019,10:36,Tarjeta de crédito,"30,41","4,761904762","1,5205","8,4"
239-10-7476,A,Yangon,Normal,Femenino,Hogar y estilo de vida,"77,95",6,"23,385","491,085",21/01/2019,16:37,Billetera electrónica,"467,7","4,761904762","23,385","8,0"
458-41-1477,C,Naypyitaw,Normal,Femenino,Salud y belleza,"46,26",6,"13,878","291,438",08/03/2019,17:11,Tarjeta de crédito,"277,56","4,761904762","13,878","9,5"
685-64-1609,A,Yangon,Miembro,Femenino,Accesorios de moda,"30,14",10,"15,07","316,47",10/02/2019,12:28,Billetera electrónica,"301,4","4,761904762","15,07","9,2"
568-90-5112,C,Naypyitaw,Normal,Masculino,Salud y belleza,"66,14",4,"13,228","277,788",19/03/2019,12:46,Tarjeta de crédito,"264,56","4,761904762","13,228","5,6"
262-47-2794,B,Mandalay,Miembro,Masculino,Hogar y estilo de vida,"71,86",8,"28,744","603,624",06/03/2019,15:07,Tarjeta de crédito,"574,88","4,761904762","28,744","6,2"
238-49-0436,A,Yangon,Normal,Masculino,Salud y belleza,"32,46",8,"12,984","272,664",27/03/2019,13:48,Tarjeta de crédito,"259,68","4,761904762","12,984","4,9"
608-96-3517,B,Mandalay,Miembro,Femenino,Accesorios de moda,"91,54",4,"18,308","384,468",23/03/2019,19:20,Tarjeta de crédito,"366,16","4,761904762","18,308","4,8"
